,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
HDAC11-AS1,0.9391999999999999,0.060800000000000076,2.737438506275398,3.09002e-07,2.1888657e-06,1e-07,0.5,-4.048025,-4.00319,2.546625,-10.57729,5.1063185,0.000652707,0.0,0.001135718341851221,0.0,0.004898025,0.0,True,Tumor vs Normal,Tumor,Normal
KHDRBS2,0.9606,0.03939999999999999,3.1937920295299222,2.7059625e-07,3.775123e-06,1e-07,0.5,-3.9425,-4.032049,1.9852041,-10.397947,2.9149418,0.0,0.012688596,0.0,0.03225806451612903,0.0,0.09204111,True,Tumor vs Normal,Tumor,Normal
SLC28A2,0.9566,0.043399999999999994,3.0929256701788073,2.44474e-06,1.15333e-05,1e-07,0.5,-3.8155305,-3.9173326,2.818959,-12.971848,6.6812935,0.0042052856,0.0,0.00908574673480977,0.0,0.040688045,0.0,True,Tumor vs Normal,Tumor,Normal
CHRNA7,0.9462,0.05379999999999996,2.867180320724311,2.7918377e-06,1.002253e-05,1e-07,0.5,-3.729346,-3.8494244,2.5160742,-11.6495695,7.301296,0.0069020963,0.018380597,0.009653605905735382,0.03225806451612903,0.07579675,0.13465604,True,Tumor vs Normal,Tumor,Normal
HIST1H2BB,0.9526,0.0474,3.0005726591928727,1.4715124e-06,9.869183e-06,1e-07,0.5,-3.593132,-3.6019192,2.1755762,-11.791822,5.0677776,0.0025055166,0.0,0.006814310051107327,0.0,0.021986486,0.0,True,Tumor vs Normal,Tumor,Normal
LGALS2,0.9430000000000001,0.05699999999999994,2.8060148499647815,0.000109232285,0.00024859566,1e-07,0.5,-3.5412765,-3.8145576,3.7516627,-13.695472,10.448112,0.11133556,0.11876082,0.07950028392958551,0.1935483870967742,1.2694191,1.0638772,True,Tumor vs Normal,Tumor,Normal
IGKV1-5,0.9482,0.05179999999999996,2.907175118698705,2.8183913e-06,8.348111e-06,1e-07,0.5,-3.333268,-3.5708208,2.626416,-11.345155,8.549939,0.0022302438,0.0,0.006246450880181716,0.0,0.020575466,0.0,True,Tumor vs Normal,Tumor,Normal
NKD2,0.9428000000000001,0.05719999999999992,2.8023001084577692,1.1487918e-05,1.0400438e-06,1e-07,0.5,3.270619,3.3750014,2.0831773,-4.452257,10.421366,0.018882422,0.0,0.0471323111868257,0.0,0.18129456,0.0,True,Tumor vs Normal,Tumor,Normal
RNF152,0.9523999999999999,0.04760000000000009,2.99615215379111,1.1370248e-06,5.633123e-06,1e-07,0.5,-3.103379,-3.2086601,1.836668,-9.287411,4.877838,0.0006172233,0.019277316,0.002271436683702442,0.03225806451612903,0.0050935023,0.13904603,True,Tumor vs Normal,Tumor,Normal
PDE3A,0.9436,0.056400000000000006,2.817233022322269,1.6639782e-06,8.93633e-06,1e-07,0.5,-2.9937966,-2.974739,1.95229,-10.049741,4.1383944,0.0019809676,0.020741716,0.003975014196479273,0.0967741935483871,0.019753616,0.1587037,True,Tumor vs Normal,Tumor,Normal
ARHGAP44,0.9516,0.0484,2.978644768603285,4.580637e-06,2.303478e-05,1e-07,0.5,-2.773679,-2.726142,1.641522,-9.101511,3.388236,0.009613733,0.11678485,0.017603634298693934,0.12903225806451613,0.102340564,1.4189936,True,Tumor vs Normal,Tumor,Normal
