,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
GSTM1,0.9746,0.025399999999999978,3.6472775729448257,4.5359984e-06,1.7706985e-05,1e-07,0.5,-6.5703673,-7.48652,3.6784043,-14.774707,5.739419,0.00904022,0.06738629,0.019408054342552175,0.13636363636363638,0.07988411,0.59152997,True,Tumor vs Normal,Tumor,Normal
TRBV6-6,0.959,0.041000000000000036,3.152318774704249,1.3097217e-07,1.1495005e-06,1e-07,0.5,-6.5605445,-7.2500134,3.3154142,-14.385035,6.9374123,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV9,0.9636,0.03639999999999999,3.276107231750535,1.1409856e-07,1.4490707e-06,1e-07,0.5,-6.516913,-7.074587,3.0368147,-14.630699,6.029669,0.00016507819,0.011077672,0.00048520135856380397,0.022727272727272728,0.0013932927,0.08360416,True,Tumor vs Normal,Tumor,Normal
AC114763.1,0.965,0.03500000000000003,3.316779764498021,3.509156e-07,3.994869e-06,1e-07,0.5,-6.273622,-6.898452,3.1889882,-13.144901,3.9273834,0.0008811892,0.01484896,0.001455604075691412,0.045454545454545456,0.008354018,0.12020061,True,Tumor vs Normal,Tumor,Normal
TRBV5-1,0.9718,0.028200000000000003,3.539827699708052,2.1314659e-06,5.685205e-06,1e-07,0.5,-6.263809,-7.0857964,3.6998127,-15.176899,8.884182,0.0030936215,0.0,0.0024260067928190197,0.0,0.02553186,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV5-6,0.9551999999999999,0.04480000000000006,3.0597123904721473,9.955468e-08,1.3488319e-06,1e-07,0.5,-6.103916,-6.514041,3.1372678,-14.435793,5.6220284,0.00035842194,0.0,0.0009704027171276079,0.0,0.002658333,0.0,True,Tumor vs Normal,Tumor,Normal
PDF,0.9536,0.0464,3.0229446320482345,1.4539454e-06,8.362214e-06,1e-07,0.5,-5.9542117,-6.820423,3.1297603,-12.216329,4.663821,0.0033617439,0.012999807,0.006307617661329451,0.045454545454545456,0.030711902,0.10251814,True,Tumor vs Normal,Tumor,Normal
TRBV6-1,0.951,0.049000000000000044,2.9656935708683982,1.5771633e-07,1.0949918e-06,1e-07,0.5,-5.846064,-6.279044,3.2678614,-15.102226,7.2402153,0.00034476756,0.0,0.00048520135856380397,0.0,0.0025338947,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV4-2,0.9523999999999999,0.04760000000000009,2.99615215379111,1.3734362e-07,1.1633136e-06,1e-07,0.5,-5.7915177,-6.3038044,3.082666,-15.037662,5.9044933,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
IGKV1-17,0.966,0.03400000000000003,3.3468030258307184,2.9661567e-07,2.557218e-06,1e-07,0.5,-5.789212,-6.1772785,2.970943,-13.04796,3.9810715,0.0008856814,0.0,0.0009704027171276079,0.0,0.0072193868,0.0,True,Tumor vs Normal,Tumor,Normal
AL645728.1,0.959,0.041000000000000036,3.152318774704249,4.5970214e-07,4.011506e-06,1e-07,0.5,-5.7381473,-6.350415,3.0468261,-13.018516,4.722704,0.0014263986,0.0,0.0033964095099466274,0.0,0.013089297,0.0,True,Tumor vs Normal,Tumor,Normal
