,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
NPHP1,0.9978,0.0021999999999999797,6.11709095964051,3.7380603e-06,1.4654191e-05,1e-07,0.5,-1.9469153,-1.9272356,0.55757225,-4.2251596,-0.32151604,0.0,0.018936215,0.0,0.06666666666666667,0.0,0.1502984,True,Left vs Right,Left,Right
ESPN,0.9450000000000001,0.05499999999999994,2.843851571025118,4.0350096e-06,1.096902e-06,1e-07,0.5,1.9465225,1.9941664,0.89340895,-1.6385384,5.5583153,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
GNA14,0.9530000000000001,0.04699999999999993,3.0094670996713897,2.4032784e-06,9.726807e-06,1e-07,0.5,-1.9458091,-2.079177,0.8199923,-3.7593508,1.828989,0.0,0.05159894,0.0,0.13333333333333333,0.0,0.34789538,True,Left vs Right,Left,Right
ITGA9,0.9544,0.045599999999999974,3.041174945442932,6.4694464e-06,2.4102987e-05,1e-07,0.5,-1.9449147,-1.9965,0.83056605,-4.688428,1.8303604,0.0,0.02449662,0.0,0.13333333333333333,0.0,0.16924775,True,Left vs Right,Left,Right
SLC16A11,0.9561999999999999,0.04380000000000006,3.0833330609571883,9.3103955e-07,2.4776725e-07,1e-07,0.5,1.9412676,1.9385786,0.7831039,-0.81970406,4.954708,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
GAS2L3,0.9202,0.07979999999999998,2.4450674188195327,9.678926e-07,3.6880706e-06,1e-07,0.5,-1.9408381,-2.0572882,1.0869514,-5.3308506,3.2796917,0.0,0.023919016,0.0,0.13333333333333333,0.0,0.16130996,True,Left vs Right,Left,Right
MYBL2,0.921,0.07899999999999996,2.456012068063779,5.8053786e-07,2.4772207e-06,1e-07,0.5,-1.9367039,-2.1240578,1.7033561,-7.503439,5.122202,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
HNF4G,0.9354,0.06459999999999999,2.672759690395094,5.698354e-07,2.0320897e-06,1e-07,0.5,-1.9351519,-1.9372282,0.9150343,-5.233515,1.6037502,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CCNE2,0.9466,0.0534,2.8750656948042224,1.6357715e-06,6.601067e-06,1e-07,0.5,-1.9349304,-1.9902172,0.8225525,-4.570156,1.1320477,0.0,0.011371843,0.0,0.06666666666666667,0.0,0.076731704,True,Left vs Right,Left,Right
HAPLN1,0.9179999999999999,0.08200000000000007,2.415478032298271,1.2736252e-05,5.7747304e-05,1e-07,0.5,-1.930996,-2.189169,1.9256952,-6.3023033,6.4721813,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
TRIM29,0.9311999999999999,0.06880000000000008,2.605270197427879,7.975097e-07,3.1831385e-06,1e-07,0.5,-1.9308717,-1.9068298,1.0255396,-6.081745,1.5735474,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
CCDC173,0.921,0.07899999999999996,2.456012068063779,6.0000224e-07,2.2652466e-06,1e-07,0.5,-1.9304498,-2.0400934,0.9367665,-4.9780827,2.1943722,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
MS4A8,0.9124,0.08760000000000001,2.3432973892727476,2.5997159e-07,9.400997e-07,1e-07,0.5,-1.926373,-1.9287176,0.99786246,-6.203394,1.9505653,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
