,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,log10_bf
KBTBD12,0.9518,0.04820000000000002,2.982995710668006,1.188034e-06,1.4409892e-05,1e-07,0.25,-2.7011073,-2.5225673,3.8553996,-17.529543,9.498564,0.0009810408,0.023043854,0.00908574673480977,0.03071083505866118,0.007004871,0.20892112,True,0.47465262889302956
SCIN,0.9591999999999999,0.04080000000000006,3.1574172876305324,8.615344e-06,6.040506e-05,1e-07,0.25,-2.700835,-2.8379545,2.3063948,-10.392724,6.7332764,0.014289989,0.0884523,0.032367972742759814,0.1400966183574872,0.14270747,0.8964202,True,0.4993319825202538
ZXDA,0.951,0.049000000000000044,2.9656935708683982,1.4019565e-06,9.248593e-06,1e-07,0.25,-2.6988013,-2.7058573,2.6286647,-11.636287,5.027767,0.003995988,0.016160246,0.010221465076660993,0.01587301587301586,0.03789448,0.17190574,True,0.4721262757171364
ABTB2,0.9544,0.045599999999999974,3.041174945442932,2.981399e-06,2.7083994e-05,1e-07,0.25,-2.6961775,-2.7382102,2.3571804,-9.841994,5.1364393,0.007629006,0.038608056,0.019307211811470767,0.044168391994478896,0.076685056,0.4178736,True,0.48304140393188255
ATP7B,0.9528,0.04720000000000002,3.005010924080578,4.893454e-06,2.3985003e-05,1e-07,0.25,-2.6956217,-2.7204967,2.3796325,-11.124309,6.63097,0.010825943,0.036887646,0.04429301533219764,0.055900621118012285,0.0893789,0.37508053,True,0.4778460551416604
MAN2C1,0.9636,0.03639999999999999,3.276107231750535,8.833774e-06,6.195539e-05,1e-07,0.25,-2.6946566,-2.729744,1.6937628,-8.139831,5.035987,0.014884621,0.09582133,0.052810902896081806,0.13077984817115187,0.1278256,0.9787762,True,0.5153581084237921
ADM,0.9542,0.04579999999999995,3.036588994101264,3.0619136e-05,0.00013609958,1e-07,0.25,-2.6920254,-2.6355896,2.6748033,-11.753787,7.499611,0.071964815,0.2258469,0.1419647927314027,0.2529330572808821,0.6151607,2.302032,True,0.4823860136404251
HNRNPUL2-BSCL2,0.9398,0.06020000000000003,2.747994578881558,1.6826941e-06,5.802229e-06,1e-07,0.25,-2.6917536,-2.642662,4.464183,-16.734514,12.988359,0.0043260604,0.0059332964,0.013628620102214658,0.006211180124223605,0.032808024,0.06334485,True,0.43901587164780476
RHBDF2,0.9578,0.042200000000000015,3.122218540340339,7.385647e-06,4.100841e-05,1e-07,0.25,-2.6904528,-2.6437583,2.196654,-9.468113,6.5273085,0.01754332,0.06280944,0.058489494605337915,0.08661145617667322,0.14658068,0.633725,True,0.4944632983374103
ATG2A,0.9508,0.04920000000000002,2.961409919253223,9.498743e-06,4.8863403e-05,1e-07,0.25,-2.6883078,-2.6460767,2.0481992,-9.070973,6.209919,0.018128624,0.082989104,0.059057353776263526,0.11766735679779101,0.15562733,0.8678466,True,0.4714985267379558
FHOD1,0.9621999999999999,0.037800000000000056,3.23691297248243,7.3203673e-06,4.3438507e-05,1e-07,0.25,-2.6880283,-2.6827207,2.0269678,-8.618097,6.310196,0.010205318,0.0572412,0.03634298693923909,0.0741890959282261,0.09009325,0.6137987,True,0.5101310231482313
MICAL1,0.9561999999999999,0.04380000000000006,3.0833330609571883,9.159997e-06,7.0826616e-05,1e-07,0.25,-2.6851952,-2.769126,1.9089453,-9.062862,4.5819454,0.022195186,0.08541328,0.06076093128904036,0.10282953761214585,0.20587154,0.89246565,True,0.4890204396686569
ZNF785,0.9562,0.04379999999999995,3.0833330609571905,3.0006042e-06,2.6512966e-05,1e-07,0.25,-2.6851277,-2.7661762,2.1549983,-9.503795,5.1649265,0.005263063,0.042949982,0.02214650766609882,0.055900621118012285,0.05284608,0.43056723,True,0.4890204396686572
KIF21B,0.9551999999999999,0.04480000000000006,3.0597123904721473,4.396975e-06,3.3104854e-05,1e-07,0.25,-2.6847243,-2.6950355,2.573759,-11.603019,8.453423,0.010494552,0.037989385,0.028960817717206152,0.045548654244306354,0.09066269,0.39719734,True,0.4856806052208475
NFATC4,0.9601999999999999,0.03980000000000006,3.1832744429646938,1.5051608e-06,1.0006713e-05,1e-07,0.25,-2.6816254,-2.6443539,1.971941,-9.621831,4.73971,0.0015862894,0.014707054,0.006246450880181716,0.02553485162180816,0.013191392,0.1508391,True,0.5028740825325821
GABBR1,0.9514,0.04859999999999998,2.974310857841264,2.768019e-06,1.4041503e-05,1e-07,0.25,-2.6807258,-2.7202582,2.4959462,-10.933512,6.415595,0.0042009796,0.0219344,0.023282226007950043,0.026224982746721897,0.033650514,0.22433798,True,0.47338635653071826
ATP9B,0.9644,0.035599999999999965,3.2991602379193363,4.049369e-06,2.6566468e-05,1e-07,0.25,-2.6792378,-2.7451878,1.7812302,-9.068869,3.766304,0.007756665,0.039874505,0.02725724020442932,0.05762594893029661,0.06767077,0.408199,True,0.5184034094518548
SH3BP5-AS1,0.9506,0.0494,2.9571427480765746,5.7578137e-07,3.3145975e-06,1e-07,0.25,-2.6787038,-2.6863298,2.126188,-10.062599,5.3834743,0.00075823645,0.0052393624,0.0034071550255536627,0.00793650793650794,0.005758844,0.049331453,True,0.47087228943955983
AGMO,0.9521999999999999,0.047800000000000065,2.991749258560003,1.2425372e-06,7.510818e-06,1e-07,0.25,-2.6775274,-2.7238512,2.274888,-11.264633,5.848776,0.0006288234,0.014559566,0.0028392958546280523,0.03071083505866118,0.005298615,0.13625032,True,0.4759251920856259
PGBD4,0.9478,0.052200000000000024,2.8990608336247803,8.533144e-07,6.1068645e-06,1e-07,0.25,-2.6774457,-2.6222916,2.1693082,-10.91304,5.7399445,0.0018689348,0.011125818,0.003975014196479273,0.018633540372670804,0.018362014,0.10748795,True,0.4622573286608921
DLEC1,0.9422,0.05779999999999996,2.791228628190702,5.1194127e-07,2.408657e-06,1e-07,0.25,-2.6754048,-2.6123981,2.8829436,-12.135456,6.909458,0.0011594172,0.0045865215,0.003975014196479273,0.00448585231193927,0.008496864,0.04723244,True,0.44579541081269625
PLEC,0.9564,0.04359999999999997,3.088118866327286,9.3480725e-05,0.0004317163,1e-07,0.25,-2.675381,-2.662394,2.572758,-10.747907,6.8697042,0.14233968,0.3937185,0.24872231686541754,0.3709454796411392,1.2479173,4.1354594,True,0.4896940086455367
ZNF699,0.9643999999999999,0.035600000000000076,3.299160237919333,2.6270015e-06,1.7087243e-05,1e-07,0.25,-2.6743643,-2.7962294,2.1162007,-8.4543,5.262142,0.005327105,0.025733307,0.017603634298693934,0.03209109730848864,0.04304312,0.2705891,True,0.5184034094518544
DAPK1,0.9456,0.054400000000000004,2.8554553195417203,3.5707421e-06,3.476511e-05,1e-07,0.25,-2.6741927,-2.5937195,2.9097269,-12.434514,6.984048,0.0062378626,0.0394968,0.016467915956842712,0.055900621118012285,0.050729904,0.38901028,True,0.45567536898866867
PLXNA2,0.9548000000000001,0.04519999999999991,3.0504045968609756,9.4413135e-06,5.057869e-05,1e-07,0.25,-2.6726165,-2.5470982,2.1202633,-9.472434,5.0310526,0.017472127,0.07082291,0.06019307211811475,0.10628019323671449,0.14263563,0.7370808,True,0.48435744674806924
C5orf17,0.9428000000000001,0.05719999999999992,2.8023001084577692,4.1104427e-06,1.8894343e-05,1e-07,0.25,-2.6724164,-2.8231707,4.228603,-14.762695,11.909855,0.00953404,0.035003457,0.024985803520726876,0.05555555555555542,0.083501644,0.32064456,True,0.44751464362331395
PLIN5,0.9424,0.057599999999999985,2.794907082195586,7.8750793e-07,4.7699837e-06,1e-07,0.25,-2.6708708,-2.6595736,2.80756,-12.165656,7.2768707,0.0011879044,0.008459043,0.007382169222032938,0.012422360248447199,0.0089866165,0.08826102,True,0.4463673741841321
ABCC3,0.9540000000000001,0.04599999999999993,3.0320220680500927,4.930011e-05,0.0002731709,1e-07,0.25,-2.6702929,-2.5673394,2.1478217,-10.684086,6.54049,0.08637392,0.30996022,0.18796138557637718,0.3319530710835104,0.75715023,3.1702836,True,0.48173235792338426
ATP6V0A2,0.9450000000000001,0.05499999999999994,2.843851571025118,1.1902675e-05,5.2322106e-05,1e-07,0.25,-2.6701536,-2.5498786,2.462995,-10.004189,6.6284637,0.02245879,0.06997771,0.07495741056218062,0.08350586611456144,0.18038398,0.741829,True,0.4539069255586034
NEIL1,0.9638,0.03620000000000001,3.2818244195070476,4.3440295e-06,2.5036237e-05,1e-07,0.25,-2.6683118,-2.7146573,1.8083084,-8.073962,4.761799,0.008078063,0.04555499,0.0369108461101647,0.06935817805383,0.06509755,0.46093225,True,0.5161153422150728
ATP2A3,0.9556,0.044399999999999995,3.0690997312529054,1.44842725e-05,8.71759e-05,1e-07,0.25,-2.6663938,-2.6748142,2.3645709,-10.826173,7.7431297,0.025042297,0.09878217,0.05394662123793303,0.1469979296066245,0.2445189,0.9767288,True,0.48701100119575247
KIAA1211,0.9554,0.04459999999999997,3.0643960281814424,2.757019e-06,2.0117459e-05,1e-07,0.25,-2.6657355,-2.7800813,2.8050919,-11.187659,7.30105,0.006861003,0.026773682,0.013060760931289047,0.048999309868875,0.07051316,0.2633754,True,0.48634489078532106
PLEKHH1,0.9533999999999999,0.046600000000000086,3.0184337975356486,8.085873e-06,5.4789645e-05,1e-07,0.25,-2.6625698,-2.6290417,2.1581764,-11.305189,5.4466124,0.012366258,0.081350125,0.03747870528109031,0.10559006211180076,0.117089555,0.8343759,True,0.4797816550489182
SLC12A7,0.9498000000000001,0.05019999999999991,2.9402362207427046,2.7409775e-05,0.00014056526,1e-07,0.25,-2.6593907,-2.5648317,2.3281982,-9.563211,7.0120325,0.053958345,0.16733353,0.13628620102214659,0.19910282953761102,0.4675646,1.6685334,True,0.4683822233670317
NKTR,0.9571999999999999,0.04280000000000006,3.1074740302487704,2.8187576e-05,0.00015226283,1e-07,0.25,-2.6591172,-2.598042,1.963609,-8.686518,5.2231836,0.05993636,0.25693998,0.1527541169789893,0.2895100069013127,0.52574664,2.6496258,True,0.4924075078612757
SLCO2A1,0.9474,0.05259999999999998,2.8910050911871408,1.1613821e-06,9.708497e-06,1e-07,0.25,-2.658358,-2.6385908,3.5960963,-14.273753,11.2276535,0.002672362,0.011355104,0.006814310051107327,0.011042097998619734,0.026192259,0.1266575,True,0.4610488564980408
